file,monitor,region_id,status,start_datetime,stop_datetime,Sex,Genotype,Temperature,Treatment,Environment,Light
Monitor17.txt,M17,21,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,22,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,23,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,24,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,25,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,26,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,27,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,28,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,29,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,30,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,31,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor17.txt,M17,32,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-L2-1,21.5C,Grp,5D,12:12
Monitor15.txt,M15,1,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,2,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,3,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,4,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,5,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,6,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,7,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,8,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,9,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,10,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,11,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,12,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,13,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,14,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,15,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,16,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,17,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,18,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,19,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,20,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,21,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,22,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,23,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,24,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,25,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,26,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,27,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,28,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,29,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,30,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,31,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor15.txt,M15,32,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Iso,5D,12:12
Monitor14.txt,M14,1,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,2,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,3,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
Monitor14.txt,M14,4,OK,2019-08-20 10:01:00,2019-08-23 10:20:00,M,SIP-S2-8,21.5C,Grp,5D,12:12
